id,hoard_id,title,ex_start_date,ex_end_date,buried,b_start_date,b_end_date,contents,notes,location_uri
1266,"ch8,491","Fenis, Guranont comm, Arad county, Romama,",1981,,100 - 75 B.C.,-100,-75,"333 AR, pot hoard",,https://www.geonames.org/678208
1267,"ch8,492",Turkey,1975 or earlier,,100 - 75 B.C.,-100,-75,at least 34 AR,,https://www.geonames.org/298795
1268,"ch8,493","Hieu Ordorhei, Bistrita Nasaud county, Romania",1982,,100 - 75 B.C.,-100,-75,214+ AR,,https://www.geonames.org/684647
1269,"ch8,494","Furculesti, Videle, Teleorman county, Romania",1958,,100 - 75 B.C.,-100,-75,"83 AR, pot hoard","New researches undertaken in 1984 at Furculesti concluded that the two hoards IGCH 631 and 658 represent in fact a single deposit with a larger composition than the coins already published. ...Rcpubli xm dcn.mu-, entered by IGCII were nOI [ound ,11l-urculcvu.",https://www.geonames.org/677767
1270,"ch8,495",Caria,1985,,100 - 75 B.C.,-100,-75,c. 68 +AR,,https://pleiades.stoa.org/places/991381
1271,"ch8,496","Valea Presnei, Gurbanehtini comm.,
Calarasi County, Romania",1976,,100 - 50 B.C.,-100,-50,219 AR,,https://www.geonames.org/663493
1272,"ch8,497","Ulmu,
Calarasi County, Romania",1983,,100 - 50 B.C.,-100,-50,"4+ AR, found in Gcto-Dacian senlemenl",,https://www.geonames.org/664285
1273,"ch8,498","Antalya, Turkey",1987,,100 – 1 B.C.,-100,-1,40 AR,,https://www.geonames.org/323777
1274,"ch8,499","Viisoara, Romania,",1957,,100 – 1 B.C.,-100,-1,821 AR,,https://www.geonames.org/662924
1275,"ch8,500","Olteni, Teleorman county, Romania,",1966,,100 – 1 B.C.,-100,-1,"49 AR, pot hoard",,https://www.geonames.org/671846
1276,"ch8,501","Vissoka Moguila, Kioustendil, Bulgaria",1979,,100 – 1 B.C.,-100,-1,"72 AE, in site of Samouilov
Kamak or Goliamoto Kale - after ploughing work; with fragments of clay pot",,https://www.geonames.org/864554
1277,"ch8,502","Curcani, dep. of Calarasi, Romania",,,100 – 1 B.C.,-100,-1,AR,,https://www.geonames.org/679936
1278,"ch8,503","Amasra area, Turkey",1982,,100 – 1 B.C.,-100,-1,5 AE,"Not formally recorded as a
hoard, but their uniform inventory numbers and exotic nature at Amasra strongly suggest they were found together.",https://www.geonames.org/752016
1279,"ch8,504",Unknown findspot,before 1993,,100 – 1 B.C.,-100,-1,AE,,
1280,"ch8,505","Candarh, (ancient Pitane), Turkey",,,c. 95 B.C.,-95,-95,58 AR,,https://pleiades.stoa.org/places/550833
1281,"ch8,506",North-West Greece,1988/89,,c. 90 B.C.,-90,-90,119 AR,,https://www.geonames.org/6697811
1282,"ch8,507","Pella, Agora",July 1984,,90 - 80 B.C.,-90,-80,"100 AR, in a destruction deposit
caused by an earthquake",,https://www.geonames.org/734726
1283,"ch8,508",Unknown findspot,before 1993,,c. 90 - 80 B.C.,-90,-80,45+ AR,,
1284,"ch8,509","Adam Zagliverion, Maccdonia (Adamiotissa)",1983,,90 - 80 B.C.,-90,-80,"38 AR, found in a field where 6 coins had previously been dug up",,https://www.geonames.org/6697801
1285,"ch8,510","Pancin, Romania",1915,,90 - 75 B.C.,-90,-75,,"Discussion of drachms of Dyrrhachium
in this and other hoards from the",https://www.geonames.org/671398
1286,"ch8,511",Lebanon,1987,,c. 85 B.C.,-85,-85,,,https://www.geonames.org/272103
1288,"ch8,513","Near Adana, Turkey",Late 1987,,c. 80 B.C.,-80,-80,c. 20 AR,Could be part of the same hoard as #516,https://www.geonames.org/325363
1289,"ch8,514",Unknown findspot,,,c. 80 B.C.,-80,-80,c. 30 AR,,
1290,"ch8,515","Kamishliyye, Syria",1980,,c. 80 B.C.,-80,-80,AR,,https://www.geonames.org/173377
1291,"ch8,516",Unknown findspot,1987,,c. 80 B.C.,-80,-80,c. 5+ AR,"This could be part of the same
hoard as no. 513.",
1292,"ch8,517",North of Larissa Greece,1985,,c. 75 B.C.,-75,-75,1260+ AR,,https://www.geonames.org/258576
1293,"ch8,518","Stikada, Gracac, former Yugoslovia",1976,,c. 75 B.C.,-75,-75,191+ AE,,https://www.geonames.org/3189882
1294,"ch8,519","Pontus, North-East Turkey",1982,,c. 75 B.C.,-75,-75,40+ AR,,https://pleiades.stoa.org/places/857287
1295,"ch8,520","Temenos on the Riera Odos, Miletus-
Didyma?",,,c. 75 B.C.,-75,-75,c. 88 AE,,
1296,"ch8,521",East coast of Antikythera,1976,,75 - 50 B.C,-75,-50,"36 AR and 3 AE, shipwreck, pot hoard",,https://www.geonames.org/265080
1297,"ch8,522",Israel,before 1992,,c. 70 B.C.,-70,-70,c. 4000 AE,,https://www.geonames.org/294640
1298,"ch8,523",Baghdad region,before 1935,,c. 70 B.C.,-70,-70,"c. 10 AE, apparently from a hoard",,https://www.geonames.org/98182
1299,"ch8,524","Koycegiz, north of Dalyan (anc, Caunos)",1989,,c. 70 B.C.,-70,-70,c. 66 AR,,https://pleiades.stoa.org/places/638796
1300,"ch8,525",Asia Minor,1991/92,,c. 65 B.C.,-65,-65,AR,,https://pleiades.stoa.org/places/837
1301,"ch8,526",Unknown findspot,1990,,c. 65 B.C.,-65,-65,c. 98 AR,,
1302,"ch8,527","Unknown findspot (Lebanon?),",1984,,c. 60 B.C.,-60,-60,"23 AR, part of a larger hoard",,https://www.geonames.org/272103
1303,"ch8,528","Antalya environs, Turkey",1979,,60 - 40 B.C.,-60,-40,81 + AE,,https://www.geonames.org/323777
1304,"ch8,529",Unknown findspot,before 1852,,50 – 1 B.C.,-50,-1,73 AR,,
1305,"ch8,530","Near Nekromantion, Greece",1982,,c. 50 B.C.,-50,-50,40+ AR and AE,"The AE issues are of the later third and
second century. The AR are of the I st century and Illay have been
added to an earlier hoard.",https://en.wikipedia.org/wiki/Necromanteion_of_Acheron
1306,"ch8,531",Syria,1979,,c. 50 B.C.,-50,-50,200+ AR,The above recorded additional to those noted in CH VI and Merkholrn. (latest date 52/1 B.C,https://www.geonames.org/163843
1307,"ch8,532",Turkey,before 1964,,c. 50 B.C.,-50,-50,129 AR,,https://www.geonames.org/298795
1308,"ch8,533","Arcus, Valea Crisului comm., Covasna county, Romania",1985,,c. 50 B.C.,-50,-50,261 AR,,https://www.geonames.org/663813
1309,"ch8,534",South- West Turkey,1977 or earlier,,c. 50 B.C.,-50,-50,50+ AR,,https://www.geonames.org/10922502
1310,"ch8,535","Jzgrev, Bourges, Bulgaria",1979,,c. 50 B.C.,-50,-50,AR,,https://www.geonames.org/732771
1311,"ch8,536","Pergamon, Turkey,",1987,,50 - 20 B.C.,-50,-20,"65 AR, found during excavations",,https://www.geonames.org/321426
1312,"ch8,537",Unknown findspot,before 1986,,after 48 B.C.,-48,2,65+ AR,,
1313,"ch8,538","Kerch environs, Crimea",?,,47 - 44 B.C.,-47,-44,"Contents: 2 pots; A: 35 AE, B: 34 AE",,https://www.geonames.org/706524
1314,"ch8,539",Asia Minor,1988,,c. 45 B.C.,-45,-45,500+,,https://pleiades.stoa.org/places/837
1315,"ch8,540","Perissos, Attica, Greece",,,c. 40 B.C.,-40,-40,4 AE,,https://en.wikipedia.org/wiki/Perissos_metro_station
1316,"ch8,541","Megara Hyblaea, Sicily",,,40 - 39 B.C.,-40,-39,AE,,https://www.geonames.org/8063661
1317,"ch8,542","Preveza, Greece",1982,,c. 31 B.C.,-31,-31,"19+ AR, in the sea",,https://www.geonames.org/254698
1318,"ch8,543","Dolj County, Romania",?,,c. 30 B.C.,-30,-30,139+ AR,,https://www.geonames.org/679134
1319,"ch8,544","Caria?,",1990?,,30 - 20 B.C.,-30,-20,10+ AR,,https://pleiades.stoa.org/places/991381
1320,"ch8,545",Turkey,1971?,,25 - 1 B.C.,-25,-1,47+ AR,,https://www.geonames.org/298795
1321,"ch8,546",Unknown findspot,1987 or early 1988,,c. 25 B.C. ?,-25,-25,60+ A R,,
1322,"ch8,547",Turkey?,1975?,,25 - 1 B.C.,-25,-1,70 AE,,https://www.geonames.org/298795
1323,"ch8,548","Assur, Qal'at Scherquat, Iraq",1912,,c. 23 B.C.,-23,-23,"154 AR, POL hoard from a grave",,https://pleiades.stoa.org/places/893945
1324,"ch8,549",Unknown findspot,1976,,19 - 18 B.C.,-19,-18,,,
1325,"ch8,550","Beth Likiah, near Jerusalem",1982,,10 B.C. - 20 A.D.,-10,20,"332 AR, dark violet patina, Common from central Israel",,https://pleiades.stoa.org/places/687928
1326,"ch8,551","Haifa area or Galilee, Israel",1985(?),,c. A.D. 40,40,40,100+ AR,,https://www.geonames.org/294801
1327,"ch8,552","Borsippa, Iraq",1881,,c. A.D. 45,45,45,1200 BI,,https://pleiades.stoa.org/places/893964
1328,"ch8,553","Shahariyem, south of Hebron, Israel",1983,,A.D. 66 - 70,66,70,27+ AR,,https://www.geonames.org/285066
1329,"ch8,554","Hebron area, Israel",1982,,c. A.D. 135,135,135,24 AE,,https://pleiades.stoa.org/places/687915
1330,"ch8,555","Yatta, Hebron district, Israel",1982,,c. A.D. 135,135,135,"48 AR, 7 AE, pot hoard",,https://www.geonames.org/281292
1331,"ch8,556","Borsippa, Iraq",1880,,185 AD,185,185,35 AR,,https://pleiades.stoa.org/places/893964
1338,"ch8,563","Eleftheroupolis, Macedonia",,,Hellenistic ?,-333,-90,41 AE,In a cist grave of the beginning of the Hellenistic period.,https://www.geonames.org/736330
1339,"ch8,564","Limenas, Thasos (Dragasia),",1980 or 81,,4th cent ?,-400,-301,10 AR?,"BCH] 13 (1989) II, p. 661; ALl 35 (1980)[1988]
Chron. p. 415-422 and ALl 36 (1981)[ 1988] Chron. p. 328-338, 357-61.",https://www.geonames.org/736399
1344,"ch8,569",Unknown findspot,,,4th cen.?,-400,-301,31 AE,,
1348,"ch8,573","Messene, 'Prytaneion’",1989,,Hellenistic ?,-333,-90,70 AR?,,https://www.geonames.org/8133986
1355,"ch8,580","Acarnania, Greece",,,1st cent B.C.,-99,0,9 AE,,https://www.geonames.org/265508
1369,"ch8,594",Baselice,before 1983,,400 – 242 B.C.,-400,-242,AR,,https://pleiades.stoa.org/places/442501
1370,"ch8,595","Asia Minor, ""Armenak Hoard""",1927 or earlier,,275 - 270 B.C.,-275,-270,,"The dale has been lowered to 275-270
B.C.",https://pleiades.stoa.org/places/837
1371,"ch8,596","Thessaly, Greece",1979,,c. 270 B.C.,-270,-270,AR,These coins additional to those previously listed.,https://www.geonames.org/6697809
1372,"ch8,597",Unknown findspot,before 1985,,c. 150-120 B.C,-150,-120,33 AE,"This assemblage of material
looks more like a dealer's
confection than a single hoard. Note, for example, the presence f
Rhodian Rhodos/rose chalkoi from the fourth century and of Rhodian plinthophoric chalkoi from the
second, both groups showing roughly the same amount of wear. (R.H']. Ashton)",
1373,"ch8,598",Unknown findspot,before 1987,,c. 253 AD,253,253,to BI,,
1374,"ch8,599",Unknown findspot,before 1983,,after 300 B.C.,-300,-250,AR,More to do from volume,
1375,"ch9,1",Cyclades,1889,,500 BC,-500,-500,145+ AR,"The coin of 'Dardanus' cannot now be traced and may not have existed: see K, Sheedy, 'Late archaic hoards in the Cyclades and some thoughts on a regional pattern of trade' in NAAN, pp. 107-17,",https://www.geonames.org/259820
1376,"ch9,2",Melos,1825?,,500-490 BC,-500,-490,,"For the suggestion that the record of this hoard may in fact be a confusion with the Santorin hoard, see H, Nicolet-Pierre, 'Naxos (cylades) Archaique: monnaie et histoire', QT 26 (1997). pp. 63-121. For discussion of mint- attributions of some coins in this group, see K, Sheedy, 'Late archaic hoards in the Cyclades and some thoughts on a regional pattern of
trade', NAAN, pp, 107-17 and Price Studies, pp. 321-5,",https://www.geonames.org/256951
1377,"ch9,3",Santorin,c. 1821,,500-490 BC,-500,-490,,"For discussion of contents and reattribution of certain issues, see now K, Sheedy, 'The Dolphins, the crab, the sphinx and ""Aphrodite:"". in Price Studies, pp. 321-5, Cf. eund. 'Late archaic hoards in the Cyclades and some thoughts on a regional pattern of trade' in NAAN, pp, 107-17. For the suggestion that the record of IGCH 8 (Melos, c. 1825) may in fact be a confusion with this hoard, see H, Nicolet-Pierre, 'Naxos (Cylades) Archaique: monnaie et histoire"", QT 26 (1997), pp. 63-121.",https://www.geonames.org/252919
1378,"ch9,4",Scione,early 1990s,,500-400 BC,-500,-400,220 AR,,https://www.geonames.org/256576
1379,"ch9,5",Unknown findspot,Before 1994,,500 BC,-500,-500,13 AR,,
1435,"ch9,61","Gazoros, Eastern Macedonia (grave II)",1994/5,,375-350 BC,-375,-350,"7 AR, 3 bronze-cored",,https://pleiades.stoa.org/places/501423
1380,"ch9,6",Isthmia,1954,,470 BC,-470,-470,,"For the revised burial date, based on redating of the archaeological context of the find, see E.R, Gebhard and F,P, Hemans, 'University of Chicago Excavations at lsthmia, 1989. l', Hesperia 61 (1992), pp. 1-77.",https://www.geonames.org/261721
1381,"ch9,7","Kiourpet, Samothrace",1930,,470 BC,-470,-470,,For a group of six coins of Samothrace perhaps,https://www.geonames.org/734358
1382,"ch9,8",Lappa,1939,,470-450 BC,-470,-450,100 AR,,https://www.geonames.org/258584
1383,"ch9,9",Unknown findspot,1999?,,470-460 BC,-470,-460,7 AR,,
1384,"ch9,10",Kythnos,1976,,460 BC,-460,-460,31 AR,,https://pleiades.stoa.org/places/570402
1385,"ch9,11",Eretria,1976,,mid 5th cent BC,-475,-425,40 AR in excavation,,https://www.geonames.org/262628
1386,"ch9,12","Makriyalos, Pieria",1998,,mid 5th cent BC,-475,-425,49 AR in a I mb,,https://www.geonames.org/735348
1387,"ch9,13","Nea Philadelphia, Thessaloniki, grave T81",1995,,mid 5th cent BC,-475,-425,2 AR,,https://www.geonames.org/736259
1388,"ch9,14",Hollm (SE Albania,1991,,late 5th cent BC,-425,-400,394 AR in bronze oenochoe,,https://www.geonames.org/781872
1389,"ch9,15",Macedonia,1994,,late 5th cent BC,-425,-400,1220+AR,,https://www.geonames.org/6697801
1390,"ch9,16",Scyros,1997,,5th - 2nd century BC,-500,-101,AR and AU,"This hoard, repOned in Ep'YOv Ynno 1997, p. 88 and AR 1998-9, p. 62, docs nOIin FacIexist.",https://www.geonames.org/253613
1391,"ch9,17",Eretria,1981,,411 BC,-411,-411,140 AR,,https://www.geonames.org/262628
1392,"ch9,18","Gazoros, Eastern Macedonia (grave XVII)",1994/5,,410 – 400 BC,-410,-400,7 AR,,https://pleiades.stoa.org/places/501423
1393,"ch9,19",Piraeus,1902,,406-394 BC,-406,-394,100+ AR,,https://www.geonames.org/255274
1394,"ch9,20",Athens,1929,,400-370 BC,-400,-370,8+ AU,,https://www.geonames.org/264371
1395,"ch9,21","Dabene, Bulgaria",1979,,4th cent BC,-400,-301,3+,,https://www.geonames.org/731873
1396,"ch9,22",Elis,1918,,400-370 BC,-400,-370,11 AU 1 EL,,https://www.geonames.org/261797
1397,"ch9,23","Acanthus, Chalcidice (grave 1349)",1979,,End of 5th – beginning of 4th cent BC,-425,-375,"27 AR, 9 AE",,https://www.geonames.org/736130
1398,"ch9,24","Acanthus, Chalcidice (grave 1337)",1979,,400-375 BC,-400,-375,2 AE,,https://www.geonames.org/736130
1399,"ch9,25","Acanthus, Chalcidice (grave 1376)",1979,,400-375 BC,-400,-375,2 AE,,https://www.geonames.org/736130
1400,"ch9,26","Makriyalos, Pieria,",1995,,400-375 BC,-400,-375,7 AR in a tomb,,https://www.geonames.org/735348
1401,"ch9,27",Olynthus (grave 55),1934,,first quarter 4th cent BC,-400,-375,3 AE,,https://www.geonames.org/734996
1402,"ch9,28",Olynthus (grave 70),1934,,first quarter 4th cent BC,-400,-375,2 AR,,https://www.geonames.org/734996
1403,"ch9,29",Olynthus (grave 421),1938,,first quarter 4th cent BC,-400,-375,4 AE,,https://www.geonames.org/734996
1404,"ch9,30","Acanthus, Chalcidice (grave 1319),",1979,,400-350 BC,-400,-350,3 AE,,https://www.geonames.org/736130
1405,"ch9,31","Acanthus, Chalcidice (grave 1332),",1979,,400-350 BC,-400,-350,2 AE,,https://www.geonames.org/736130
1406,"ch9,32","Acanthus, Chalcidice (grave 1351),",1979,,400-350 BC,-400,-350,2 AE,,https://www.geonames.org/736130
1407,"ch9,33","Acanthus, Chalcidice (grave 1561),",1979,,400-350 BC,-400,-350,2 AE,,https://www.geonames.org/736130
1408,"ch9,34","Olynthus (grave 103),",1931,,first half 4th cent BC,-400,-350,4 AE,,https://www.geonames.org/734996
1409,"ch9,35","Olynthus (grave 110),",1931,,first half 4th cent BC,-400,-350,4 AE,,https://www.geonames.org/734996
1410,"ch9,36",Olynthus (grave 127,1931,,first half 4th cent BC,-400,-350,3 AE,,https://www.geonames.org/734996
1411,"ch9,37",Olynthus (grave 134,1931,,first half 4th cent BC,-400,-350,4 AE,,https://www.geonames.org/734996
1412,"ch9,38",Olynthus (grave 147,1934,,first half 4th cent BC,-400,-350,2 AE,,https://www.geonames.org/734996
1413,"ch9,39",Olynthus (grave 157,1931,,first half 4th cent BC,-400,-350,2 AE,,https://www.geonames.org/734996
1414,"ch9,40",Olynthus (grave 175,1931,,first half 4th cent BC,-400,-350,4 AE,,https://www.geonames.org/734996
1415,"ch9,41",Olynthus (grave 242,1931,,first half 4th cent BC,-400,-350,4 AE,,https://www.geonames.org/734996
1416,"ch9,42",Olynthus (grave 26,1934,,first half 4th cent BC,-400,-350,2 AE,,https://www.geonames.org/734996
1417,"ch9,43",Olynthus (grave 288,1931,,first half 4th cent BC,-400,-350,4 AE,,https://www.geonames.org/734996
1418,"ch9,44",Olynthus (grave 298,1934,,first half 4th cent BC,-400,-350,2 AE,,https://www.geonames.org/734996
1419,"ch9,45",Olynthus (grave 299,1934,,first half 4th cent BC,-400,-350,2 AE,,https://www.geonames.org/734996
1420,"ch9,46",Olynthus (grave 305,1931,,first half 4th cent BC,-400,-350,4 AE,,https://www.geonames.org/734996
1421,"ch9,47",Olynthus (grave 324,1934,,first half 4th cent BC,-400,-350,4 AE,,https://www.geonames.org/734996
1422,"ch9,48",Olynthus (grave 366),1934,,first half 4th cent BC,-400,-350,3 AE,,https://www.geonames.org/734996
1423,"ch9,49",Olynthus (grave 369),1934,,first half 4th cent BC,-400,-350,4 AE,,https://www.geonames.org/734996
1424,"ch9,50",Olynthus (grave 372),1934,,first half 4th cent BC,-400,-350,2 AE,,https://www.geonames.org/734996
1425,"ch9,51",Olynthus (grave 425,1931,,first half 4th cent BC,-400,-350,4 AE,,https://www.geonames.org/734996
1426,"ch9,52",Olynthus (grave 514,1931,,first half 4th cent BC,-400,-350,2 AE,,https://www.geonames.org/734996
1427,"ch9,53",Olynthus (grave 52,1934,,first half 4th cent BC,-400,-350,3 AE,,https://www.geonames.org/734996
1428,"ch9,54","Olynthus (grave 523),",1931,,first half 4th cent BC,-400,-350,2 AE,,https://www.geonames.org/734996
1429,"ch9,55","Olynthus (grave 553),",1938,,first half 4th cent BC,-400,-350,2 AE,,https://www.geonames.org/734996
1430,"ch9,56",Olynthus (grave 592,1931,,first half 4th cent BC,-400,-350,3 AE,,https://www.geonames.org/734996
1431,"ch9,57",Olynthus (grave 66,1934,,first half 4th cent BC,-400,-350,4 AE,,https://www.geonames.org/734996
1432,"ch9,58",Piraeus,1977,,late 5th – early 4th cent. BC,-425,-375,54 AR + AE,,https://www.geonames.org/255274
1433,"ch9,59","Slivene district, Bulgaria",1979,,4th cent. BC,-400,-301,20 AR in excavation,,https://www.geonames.org/864557
1434,"ch9,60","Acanthus, Chalcidice (grave 1443),",1979,,380-370 BC,-380,-370,2 AE,,https://www.geonames.org/736130
1436,"ch9,62",OIynthus (grave 411),1938,,second quarter 4th cent. BC,-375,-350,4 AE,,https://www.geonames.org/734996
1437,"ch9,63",Olynthus (grave 426),1931,,second quarter 4th cent. BC,-375,-350,4 AE,,https://www.geonames.org/734996
1438,"ch9,64",Thessaly,Early 1993,,370 BC,-370,-370,39 AR,,https://www.geonames.org/6697809
1439,"ch9,65",Unknown findspot,1989,,370 BC,-370,-370,1085+ AR,,
1440,"ch9,66","Verge, Serres, Macedonia",1986,,365 – 359 BC,-365,-359,2 AE,,https://www.geonames.org/734329
1441,"ch9,67",Unknown findspot,1988,,360 – 355 BC,-360,-355,498+ AR,,
1442,"ch9,68","Makriyalos, Pieria",1996,,359-336 BC,-359,-336,13 AE in a tomb,,https://www.geonames.org/735348
1443,"ch9,69","Vergina, Macedonia",1992,,359-336 BC,-359,-336,2 AE,,https://www.geonames.org/733901
1444,"ch9,70","Atrax environs, Thessaly",1968,,350 BC,-350,-350,,This hoard has now been moved from Volos to the Numismatic Museum in Athens.,https://www.geonames.org/260729
1445,"ch9,71",Thasos,1989,,350-325 BC,-350,-325,40 AE in excavations,,https://www.geonames.org/734093
1446,"ch9,72","Hierissos (grave 685),",1976,,Mid 4th cent. BC,-375,-325,2 AE,,https://www.geonames.org/736130
1447,"ch9,73",Hierissos (grave 819),1976,,Mid 4th cent. BC,-375,-325,3 AE,,https://www.geonames.org/736130
1448,"ch9,74",Olynthus (grave 56,1934,,Mid 4th cent. BC,-375,-325,4 AE,,https://www.geonames.org/734996
1449,"ch9,75",Starcevo,before 1991,,350 BC,-350,-350,5 AE,,https://www.geonames.org/785544
1450,"ch9,76",Thessaly,1988,,Second half 4th cent. BC,-350,-300,850+ AR,,https://www.geonames.org/6697809
1451,"ch9,77",Thessaly,c. 1996,,350 BC,-350,-350,451 AR,,https://www.geonames.org/6697809
1452,"ch9,78",Unknown findspot,1989,,350-320 BC,-350,-320,213 AR,,
1453,"ch9,79",Unknown findspot,1994,,350 BC,-350,-350,154 AR,,
1454,"ch9,80",Unknown findspot,Before 1991,,350 BC,-350,-350,32 AE,,
1455,"ch9,81",Eupatoria,1917,,345-340 BC,-345,-340,10 AE,,https://www.geonames.org/688105
1456,"ch9,82",Stara Zagora,1992,,335 BC,-335,-335,68 AE,,https://www.geonames.org/726848
1457,"ch9,83",East of the Strymon,Before 1988,,334-300 BC,-334,-300,40 AE,,https://pleiades.stoa.org/places/501629
1458,"ch9,84","Makriyalos, Pieria",1995,,334 – 323 BC,-334,-323,21 AE in a tomb,,https://www.geonames.org/735348
1459,"ch9,85",Eastern Crete,1997-98,,330 BC,-330,-330,132 AR,,https://www.geonames.org/258569
1460,"ch9,86",Thessaly,1992,,330-300 BC,-330,-300,127+ AR,,https://www.geonames.org/6697809
1461,"ch9,87",Thessaly,c. 1996,,330 BC,-330,-330,68 AR,,https://www.geonames.org/6697809
1462,"ch9,88",Krivodol,1967,,323 – 317 BC,-323,-317,"6 AU, pot hoard",,https://www.geonames.org/729909
1463,"ch9,89","Anarrachi, Western Macedonia",1986,,late 4th cent. BC,-325,-300,"81 AE, POt hoard",,https://www.geonames.org/736866
1464,"ch9,90","Asine, Argolis (grave B42),",1976-7,,late 4th cent. BC,-325,-300,"1 AR, 1 AE",,https://pleiades.stoa.org/places/570124
1465,"ch9,91","Atel (Hetzeldorf),
Romania,",c. 1877,,late 4th cent. BC,-325,-300,AU,,https://www.geonames.org/686065
1466,"ch9,92",Boeotia,1980s,,late 4th cent. BC,-325,-300,52 PB,,https://www.geonames.org/263441
1467,"ch9,93","Buia, Romania",1922,,late 4th cent. BC,-325,-300,17 AR,,https://www.geonames.org/683621
1468,"ch9,94","Codlea, Feketehalom, Romania,",1899,,late 4th cent. BC,-325,-300,6 AU,,https://www.geonames.org/681179
1469,"ch9,95",Drama area,1976,,late 4th cent. BC,-325,-300,231 AE,,https://www.geonames.org/736364
1470,"ch9,96","Medeon, Phocis (grave 60bis),",1963,,late 4th cent. BC,-325,-300,5 AE,,https://pleiades.stoa.org/places/540939
1471,"ch9,97","Pella, Macedonia",1996,,end of 4th cent. BC,-325,-300,"9 AR, a pair of gold earrings and two
gold rings, in excavations",,https://www.geonames.org/734726
1472,"ch9,98","Rodolivos, Macedonia",1983,,late 4th cent. BC,-325,-300,35 uncert. Metal,,https://www.geonames.org/734377
1473,"ch9,99","Slivene district, Bulgaria",1979,,late 4th cent. BC,-325,-300,c. 20 AR in excavation,,https://www.geonames.org/864557
1474,"ch9,100","Tripolis, Arcadia",1914,,325 BC,-325,-325,35 AR,,https://www.geonames.org/252601
1475,"ch9,101",Unknown findspot,1999,,late 4th cent. BC,-325,-300,295 AE,,
1476,"ch9,102",Piraeus,1882,,322-300 BC,-322,-300,c. 80 EL and AU pot hoard,,https://www.geonames.org/255274
1477,"ch9,103","Hagios Christophoros, Macedonia",1982,,320 BC,-320,-320,98 AE in excavation,,https://www.geonames.org/736606
1478,"ch9,104",Kocharitza,1959,,320 BC,-320,-320,91 AE,,https://www.geonames.org/732898
1479,"ch9,105",Topoljane,1918,,320 BC,-320,-320,c. 200 AU,,https://www.geonames.org/785011
1480,"ch9,106","Varna (anc. Odessus), Bulgaria",1949,,315-300 BC,-315,-300,"1000 AU, pot hoard",,https://www.geonames.org/726050
1481,"ch9,107",Dobrudza,Before 1954,,305 – 300 BC,-305,-300,Several Hundred AU,,https://www.geonames.org/679189
1482,"ch9,108","Acanthus, Chalcidice (grave 1316),",1979,,300 BC,-300,-300,2 AE,,https://www.geonames.org/736130
1483,"ch9,109","Acanthus, Chalcidice (grave 1317),",1979,,300 BC,-300,-300,2 AE,,https://www.geonames.org/736130
1484,"ch9,110","Acanthus, Chalcidice (grave 1467),",1979,,end of 4th cent. BC,-325,-300,3 AR,,https://www.geonames.org/736130
1485,"ch9,111",Corinth,before 1964,,late 4th / early 3rd cent. BC,-325,-275,6 AE,,https://www.geonames.org/259289
1486,"ch9,112","Fedesti, Moldova",before 1996,,late 4th / early 3rd cent. BC,-325,-275,24 AR,,https://www.geonames.org/678329
1487,"ch9,113",Hierissos,before 1996,,late 4th / early 3rd cent. BC,-325,-275,4 AE,,https://www.geonames.org/736130
1488,"ch9,114","Livanates, Locris (grave Π-33)",1982,,late 4th / early 3rd cent. BC,-325,-275,4 AE,,https://www.geonames.org/258182
1489,"ch9,115","Livanates, Locris (grave Π-6)",1982,,late 4th / early 3rd cent. BC,-325,-275,4 AE,,https://www.geonames.org/258182
1490,"ch9,116","Makriyalos, Pieria,",1991,,late 4th / early 3rd cent. BC,-325,-275,4 AE,,https://www.geonames.org/735348
1491,"ch9,117","Taman peninsula, 7 km east of Taman, Russia",1979,,late 4th / early 3rd cent. BC,-325,-275,10+ AE,,https://www.geonames.org/484666
1492,"ch9,118","Taman peninsula, Russia,",1995,,late 4th / early 3rd cent. BC,-325,-275,"c. 13, 000 AE",,https://www.geonames.org/484666
1493,"ch9,119","Drencova, Romania",1882,,late 4th / early 3rd cent. BC,-325,-275,200 AU,,https://www.geonames.org/678841
1494,"ch9,120","Medeon, Phocis grave 115",1963,,300 BC,-300,-300,10 AE,,https://pleiades.stoa.org/places/540939
1495,"ch9,121",Unknown findspot,1989,,300 BC,-300,-300,558-560 + 53 AR,,
1496,"ch9,122","Banater Kreis, Romania",1807,,3rd cent. BC,-300,-201,39+ AR,,https://www.geonames.org/685492
1497,"ch9,123","Gostila, Romania",Early 20th century,,3rd cent. BC,-300,-201,8 AR,,https://www.geonames.org/676863
1498,"ch9,124","Paroikia, Paros",1984-5,,3rd - 2nd cent. BC,-300,-101,"16 AR, pot hoard in excavation",,https://www.geonames.org/255721
1499,"ch9,125","Potoc, Romania,",18th cent. AD,,3rd cent. BC,-300,-201,c. 100 AR,,https://www.geonames.org/669750
1500,"ch9,126","Sykies, Karditsa, Thessaly",1983,,3rd cent. BC,-300,-201,3 AE,,https://www.geonames.org/253896
1501,"ch9,127","Taman peninsula, Russia",1979 or earlier,,3rd cent. BC,-300,-201,925 AE,,https://www.geonames.org/484666
1502,"ch9,128",Unknown findspot,Before 1994,,Early 3rd cent. BC,-300,-275,2 AR,,
1503,"ch9,129",Epidaurus,1977,,300 – 290 BC,-300,-290,"92 AU, pot hoard in excavations",,https://www.geonames.org/262661
